Fantasy,Player
Leafs suck,MacKinnon N
Leafs suck,Makar C
Leafs suck,Burakovsky A
Leafs suck,Girard S
Leafs suck,Compher J
Leafs suck,Farabee J
Leafs suck,Namestnikov V
Leafs suck,Aube-Kubel N
Leafs suck,Johnson E
Leafs suck,Werenski Z
Leafs suck,Jones S
Leafs suck,Savard D
Max,Ovechkin A
Max,Kuznetsov E
Max,Voracek J
Max,Raffl M
Max,Lindholm E
Max,Saad B
Max,Wilson T
Max,Dach K
Max,DeBrincat A
Max,Klingberg J
Max,Texier A
Max,Panik R
COVID Free,Pastrnak D
COVID Free,Bergeron P
COVID Free,Pettersson E
COVID Free,Kase O
COVID Free,Miller J
COVID Free,Krejci D
COVID Free,Hedman V
COVID Free,McAvoy C
COVID Free,Gourde Y
COVID Free,Roussel A
COVID Free,McDonagh R
COVID Free,Edler A
Garber,Rantanen M
Garber,Landeskog G
Garber,Teravainen T
Garber,Slavin J
Garber,Hamilton D
Garber,Necas M
Garber,Niederreiter N
Garber,Giordano M
Garber,Calvert M
Garber,Nichushkin V
Garber,Trocheck V
Garber,Cole I
Steve,Backstrom N
Steve,Carlson J
Steve,Oshie T
Steve,Vrana J
Steve,Theodore S
Steve,Heiskanen M
Steve,Hintz R
Steve,Kovalchuk I
Steve,Pavelski J
Steve,Stephenson C
Steve,Gurianov D
Steve,Kempny M
shawn holcomb,Svechnikov A
shawn holcomb,Hall T
shawn holcomb,Monahan S
shawn holcomb,Keller C
shawn holcomb,Backlund M
shawn holcomb,Ekman-Larsson O
shawn holcomb,Dvorak C
shawn holcomb,Lucic M
shawn holcomb,Stepan D
shawn holcomb,Grabner M
shawn holcomb,Brodie T
shawn holcomb,Soderberg C
Harvey WeinStone,Aho S
Harvey WeinStone,Kane P
Harvey WeinStone,Toews J
Harvey WeinStone,Kubalik D
Harvey WeinStone,Atkinson C
Harvey WeinStone,Dubois P
Harvey WeinStone,Foligno N
Harvey WeinStone,Keith D
Harvey WeinStone,Weber S
Harvey WeinStone,Koekkoek S
Harvey WeinStone,Parayko C
Harvey WeinStone,Foudy L
Pottsman,Giroux C
Pottsman,Marchand B
Pottsman,Hayes K
Pottsman,Hughes Q
Pottsman,Horvat B
Pottsman,DeBrusk J
Pottsman,Tanev C
Pottsman,Provorov I
Pottsman,Coyle C
Pottsman,Toffoli T
Pottsman,Pitlick T
Pottsman,Wagner C
Thomas Zubrick,Kucherov N
Thomas Zubrick,Kadri N
Thomas Zubrick,Laughton S
Thomas Zubrick,Mangiapane A
Thomas Zubrick,Gostisbehere S
Thomas Zubrick,Coleman B
Thomas Zubrick,Gustafsson E
Thomas Zubrick,Graves R
Thomas Zubrick,Eller L
Thomas Zubrick,Hagelin C
Thomas Zubrick,Sanheim T
Thomas Zubrick,Gudas R
I hate the leafs,Point B
I hate the leafs,Seguin T
I hate the leafs,Schenn B
I hate the leafs,Benn J
I hate the leafs,Palat O
I hate the leafs,Pietrangelo A
I hate the leafs,Maroon P
I hate the leafs,Radulov A
I hate the leafs,Cousins N
I hate the leafs,Bozak T
I hate the leafs,Sergachev M
I hate the leafs,Thomas R
TheSIX1DrakefFanDrizzle,Tarasenko V
TheSIX1DrakefFanDrizzle,O'Reilly R
TheSIX1DrakefFanDrizzle,Perron D
TheSIX1DrakefFanDrizzle,Schwartz J
TheSIX1DrakefFanDrizzle,Boeser B
TheSIX1DrakefFanDrizzle,Kessel P
TheSIX1DrakefFanDrizzle,Krug T
TheSIX1DrakefFanDrizzle,Pearson T
TheSIX1DrakefFanDrizzle,Vatanen S
TheSIX1DrakefFanDrizzle,Kotkaniemi J
TheSIX1DrakefFanDrizzle,Byron P
TheSIX1DrakefFanDrizzle,Gallagher B
king aladeen,Stone M
king aladeen,Marchessault J
king aladeen,Barzal M
king aladeen,Smith R
king aladeen,Beauvillier A
king aladeen,Bailey J
king aladeen,Pageau J
king aladeen,Schmidt N
king aladeen,Eberle J
king aladeen,Nelson B
king aladeen,Lee A
king aladeen,Pulock R
QUALIFIER CHAMP,Pacioretty M
QUALIFIER CHAMP,Karlsson W
QUALIFIER CHAMP,Tkachuk M
QUALIFIER CHAMP,Stastny P
QUALIFIER CHAMP,Johnson T
QUALIFIER CHAMP,Killorn A
QUALIFIER CHAMP,Orlov D
QUALIFIER CHAMP,Cirelli A
QUALIFIER CHAMP,Roy N
QUALIFIER CHAMP,Sanford Z
QUALIFIER CHAMP,Dube D
QUALIFIER CHAMP,Goodrow B
Stan,Couturier S
Stan,Konecny T
Stan,Gaudreau J
Stan,Donskoi J
Stan,Bennett S
Stan,Tuch A
Stan,Stamkos S
Stan,van Riemsdyk J
Stan,Foegele W
Stan,Staal J
Stan,Shattenkirk K
Stan,Petry J